Token,Language,POS,NE,Lemma,Anglicism
piensan,,VERB,O,pensar,
hijos,,NOUN,O,hijo,
parecerá,,VERB,O,parecer,
compartan,,VERB,O,compartir,
fotos,,NOUN,O,foto,
red,,NOUN,O,red,
preocupa,,VERB,O,preocupar,
piensen,,VERB,O,pensar,
años,,NOUN,O,año,
siglas,,NOUN,O,sigla,
inglés,,NOUN,O,inglés,
advierte,,VERB,O,advertir,
foto,,NOUN,O,foto,
video,,NOUN,O,video,
publicada,,VERB,O,publicar,
crea,,VERB,O,creer,
huella,,NOUN,O,hollar,
digital,,ADJ,O,digital,
niño,,NOUN,O,niño,
seguirlo,,VERB,O,seguirlo,
vida,,NOUN,O,vida,
adulta,,ADJ,O,adulto,
importante,,ADJ,O,importante,
pedirle,,NOUN,O,pedirle,
permiso,,NOUN,O,permiso,
niño,,NOUN,O,niño,
publicar,,VERB,O,publicar,
fotos,,NOUN,O,foto,
contó,,VERB,O,contar,
vocera,,NOUN,O,vocero,
organismo,,NOUN,O,organismo,
niños,,NOUN,O,niño,
pequeños,,ADJ,O,pequeño,
piensa,,VERB,O,pensar,
gustaría,,VERB,O,gustar,
publicaras,,NOUN,O,publicar,
avergonzaría,,VERB,O,avergonzar,
hagas,,NOUN,O,hacer,
información,,NOUN,O,información,
padres,,NOUN,O,padre,
comparten,,VERB,O,compartir,
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
hijos,,NOUN,O,hijo,
implicar,,VERB,O,implicar,
riesgos,,NOUN,O,riesgo,
seguridad,,NOUN,O,seguridad,
compañía,,NOUN,O,compañía,
servicios,,NOUN,O,servicio,
financieros,,ADJ,O,financiero,
sharenting,,NOUN,O,sharenting,
puerta,,NOUN,O,puerta,
fraudes,,NOUN,O,fraude,
internet,,NOUN,O,internet,
padres,,NOUN,O,padre,
comprometiendo,,VERB,O,comprometer,
seguridad,,NOUN,O,seguridad,
financiera,,ADJ,O,financiero,
futura,,ADJ,O,futuro,
hijos,,NOUN,O,hijo,
compartir,,VERB,O,compartir,
medida,,NOUN,O,medir,
datos,,NOUN,O,dato,
menores,,ADJ,O,menor,
red,,NOUN,O,red,
calcula,,VERB,O,calcular,
2030,,NOUN,O,2030,
sharenting,,NOUN,O,sharenting,
costar,,VERB,O,costar,
millones,,NOUN,O,millón,
fraudes,,NOUN,O,fraude,
línea,,NOUN,O,líneo,
responsable,,ADJ,O,responsable,
terceras,,ADJ,O,tercero,
partes,,NOUN,O,partir,
suplantaciones,,NOUN,O,suplantación,
identidad,,NOUN,O,identidad,
próxima,,ADJ,O,próximo,
década,,NOUN,O,década,
cometer,,VERB,O,cometer,
estafas,,NOUN,O,estafar,
internet,,NOUN,O,internet,
fácil,,ADJ,O,fácil,
señala,,VERB,O,señalar,
padres,,NOUN,O,padre,
falsa,,ADJ,O,falso,
sensación,,NOUN,O,sensación,
seguridad,,NOUN,O,seguridad,
hijos,,NOUN,O,hijo,
convierten,,VERB,O,convertir,
blancos,,ADJ,O,blanco,
fraude,,NOUN,O,fraude,
gracias,,NOUN,O,gracia,
información,,NOUN,O,información,
comparten,,VERB,O,compartir,
permanece,,VERB,O,permanecer,
red,,NOUN,O,red,
década,,NOUN,O,década,
padres,,NOUN,O,padre,
compartiendo,,VERB,O,compartir,
información,,NOUN,O,información,
internet,,NOUN,O,internet,
producirá,,VERB,O,producir,
millones,,NOUN,O,millón,
casos,,NOUN,O,caso,
año,,NOUN,O,año,
robo,,NOUN,O,robar,
identidad,,NOUN,O,identidad,
2030,,NOUN,O,2030,
asegura,,VERB,O,asegurar,
empresa,,NOUN,O,empresa,
advierten,,VERB,O,advertir,
usada,,VERB,O,usar,
hackear,,VERB,O,hackear,
contraseñas,,NOUN,O,contraseña,
suplantar,,VERB,O,suplantar,
identidad,,NOUN,O,identidad,
revelan,,VERB,O,revelar,
nombres,,NOUN,O,nombre,
edad,,NOUN,O,edad,
fecha,,NOUN,O,fecho,
nacimiento,,NOUN,O,nacimiento,
menores,,ADJ,O,menor,
dirección,,NOUN,O,dirección,
nombre,,NOUN,O,nombrar,
escuela,,NOUN,O,escuela,
mascota,,NOUN,O,mascota,
siguen,,VERB,O,seguir,
disponibles,,ADJ,O,disponible,
red,,NOUN,O,red,
niños,,NOUN,O,niño,
adultos,,NOUN,O,adulto,
usados,,VERB,O,usar,
hackers,,NOUN,O,hackers,
estafas,,NOUN,O,estafar,
compras,,NOUN,O,comprar,
online,,ADJ,O,online,
préstamos,,NOUN,O,préstamo,
fraudulentos,,ADJ,O,fraudulento,
transacciones,,NOUN,O,transaccionar,
tarjetas,,NOUN,O,tarjeta,
crédito,,NOUN,O,crédito,
despacho,,NOUN,O,despachar,
ciberabogados,,ADJ,O,ciberabogados,
dedicados,,ADJ,O,dedicar,
defender,,VERB,O,defender,
empresas,,NOUN,O,empresa,
particulares,,NOUN,O,particular,
internet,,NOUN,O,internet,
aseguran,,VERB,O,asegurar,
importante,,ADJ,O,importante,
existencia,,NOUN,O,existencia,
imágenes,,NOUN,O,imagen,
niños,,NOUN,O,niño,
provocar,,VERB,O,provocar,
usadas,,VERB,O,usar,
fines,,NOUN,O,finar,
pornografía,,NOUN,O,pornografía,
infantil,,ADJ,O,infantil,
ciberacoso,,NOUN,O,ciberacoso,
ciberbullying,,NOUN,O,ciberbullying,
cibersuplantación,,NOUN,O,cibersuplantación,
identidad,,NOUN,O,identidad,
motivos,,NOUN,O,motivo,
conviene,,VERB,O,convenir,
pensar,,VERB,O,pensar,
beneficioso,,ADJ,O,beneficioso,
hijos,,NOUN,O,hijo,
familiares,,NOUN,O,familiar,
menores,,ADJ,O,menor,
edad,,NOUN,O,edad,
imágenes,,NOUN,O,imagen,
permanezcan,,VERB,O,permanecer,
internet,,NOUN,O,internet,
lee,,VERB,O,leer,
sitio,,NOUN,O,sitiar,
web,,ADJ,O,web,
medidas,,NOUN,O,medir,
tomar,,VERB,O,tomar,
seguridad,,NOUN,O,seguridad,
informática,,ADJ,O,informático,
importante,,ADJ,O,importante,
comprobar,,VERB,O,comprobar,
ajustes,,NOUN,O,ajuste,
privacidad,,NOUN,O,privacidad,
padres,,NOUN,O,padre,
asegurarse,,NOUN,O,asegurarse,
datos,,NOUN,O,dato,
públicos,,ADJ,O,público,
hijos,,NOUN,O,hijo,
fácil,,ADJ,O,fácil,
estafadores,,NOUN,O,estafador,
obtener,,VERB,O,obtener,
tipo,,NOUN,O,tipo,
información,,NOUN,O,información,
requieren,,VERB,O,requerir,
identidad,,NOUN,O,identidad,
asegura,,VERB,O,asegurar,
directora,,ADJ,O,director,
seguridad,,NOUN,O,seguridad,
digital,,ADJ,O,digital,
Creo,,VERB,O,Creo,
fundamental,,ADJ,O,fundamental,
publicar,,VERB,O,publicar,
revisar,,VERB,O,revisar,
cuentas,,NOUN,O,cuenta,
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
información,,NOUN,O,información,
manos,,NOUN,O,mano,
equivocadas,,ADJ,O,equivocar,
añade,,VERB,O,añadir,
cuentan,,VERB,O,contar,
opciones,,NOUN,O,opción,
